Violation_ID,Project_SLUG,SHA,Notes
151,bucharest-jug/dropwizard-todo.git,40746322b13335ef6db2d7ec37093c524102e04c,N/A
152,bucharest-jug/dropwizard-todo.git,40746322b13335ef6db2d7ec37093c524102e04c,N/A
153,edanuff/CassandraCompositeType.git,6d09cceb93450dafab894b4a4bec17792d3bb0cb,N/A
154,edanuff/CassandraCompositeType.git,6d09cceb93450dafab894b4a4bec17792d3bb0cb,N/A
155,headius/invokebinder.git,b59f488b683b38726e8190ea0dfd9b2e6895a593,N/A
156,headius/invokebinder.git,b59f488b683b38726e8190ea0dfd9b2e6895a593,N/A
157,headius/invokebinder.git,b59f488b683b38726e8190ea0dfd9b2e6895a593,N/A
158,jbossas/jboss-dmr.git,c7d7c1f1f116eb4107c13b98985eaffff5ecf99b,N/A
159,jbossas/jboss-dmr.git,c7d7c1f1f116eb4107c13b98985eaffff5ecf99b,N/A
160,jbossas/jboss-dmr.git,c7d7c1f1f116eb4107c13b98985eaffff5ecf99b,N/A
161,jbossas/jboss-dmr.git,c7d7c1f1f116eb4107c13b98985eaffff5ecf99b,N/A
162,jbossas/jboss-dmr.git,c7d7c1f1f116eb4107c13b98985eaffff5ecf99b,N/A
163,jbossas/jboss-dmr.git,c7d7c1f1f116eb4107c13b98985eaffff5ecf99b,N/A
164,jetty-project/jetty-eventsource-servlet.git,74b37934c8a9b9c450082d5b154d098eb162c281,N/A
165,jetty-project/jetty-eventsource-servlet.git,74b37934c8a9b9c450082d5b154d098eb162c281,N/A
166,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
167,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
168,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
169,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
170,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
171,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
172,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
173,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
174,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
175,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
176,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
177,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
178,jmxtrans/embedded-jmxtrans.git,4f1ce2ccce17189ec36aaded7f7c9162fdaf44e6,N/A
179,jnr/jnr-posix.git,b2cc7b52a82b266c12db6f472ceb4c2360cda134,N/A
180,jnr/jnr-posix.git,b2cc7b52a82b266c12db6f472ceb4c2360cda134,N/A
181,jnr/jnr-posix.git,b2cc7b52a82b266c12db6f472ceb4c2360cda134,N/A
182,JodaOrg/joda-time.git,cc35fb2e6e106031fdbf1d1c2be5da6a9eb67c38,N/A
